主要建材_cat,主要用途_cat,交易年月日_date,備註,全移轉_bin,單價每平方公尺,土地_num,土地移轉總面積平方公尺,建物_num,建物型態_cat,建物現況格局-廳,建物現況格局-房,建物現況格局-衛,建物現況格局-隔間_bin,建物移轉總面積平方公尺,建築完成年月_date,有無管理組織_bin,移轉層次_num,總價元,總樓層數_num,車位_num,車位移轉總面積平方公尺,車位總價元,車位類別_cat,都市土地使用分區_cat,鄉鎮市區_cat
12,2,2015-09-25,,0,127092.0,1,26.71,1,3,1,3,1,1,94.42,,0,3,12000000,5,0,0.0,0,0,1,6
12,2,2015-09-29,,0,175427.0,1,15.66,1,5,1,1,1,1,45.09,2005-02-02,1,4,7910000,4,0,0.0,0,0,1,11
12,9,2015-09-18,,0,332378.0,1,21.07,1,9,1,2,1,1,95.01,2015-03-30,1,4,31579200,6,1,7.7,0,4,1,3
12,9,2015-09-18,,0,97987.0,0,0.0,1,9,1,2,1,1,92.44,2015-03-30,1,2,9057900,6,1,7.7,0,4,0,3
12,9,2015-09-18,,0,98879.0,0,0.0,1,9,1,2,1,1,95.01,2015-03-30,1,3,9394530,6,1,7.7,0,4,0,3
12,9,2015-09-06,含增建或未登記建物。,0,218335.0,3,12.85,1,1,1,2,1,1,64.03,,1,7,13980000,12,0,0.0,0,0,1,3
13,5,2015-10-07,,0,208787.0,1,28.56,1,10,0,4,2,1,238.77,1993-08-13,1,17,49850000,27,1,0.0,600000,1,1,3
12,5,2015-09-17,二親等交易。無交易價無約契。,0,0.0,1,39.61,1,3,2,3,2,1,104.63,1996-08-23,0,-1,0,4,0,0.0,0,0,1,4
12,2,2015-10-05,二親等內之買賣，全額加申報繳納贈與稅，無實際交付價金。權利人有三人。,0,78156.0,2,24.28,1,3,2,2,1,1,84.92,1978-05-18,0,1,6637000,5,0,0.0,0,0,1,4
12,7,2015-08-25,,0,106076.0,1,67.94,1,8,1,5,0,1,249.82,1998-11-07,1,4,26500000,6,0,0.0,0,0,2,4
12,2,2015-09-20,,0,147305.0,1,47.09,1,1,2,3,2,1,155.45999999999995,2000-06-28,1,11,22900000,12,1,0.0,0,1,1,1
12,2,2015-10-19,,0,147236.0,1,14.41,1,9,2,4,2,1,74.71000000000002,1987-12-24,0,6,11000000,7,0,0.0,0,0,1,1
12,2,2015-09-02,含增建或未登記建物。,0,148471.0,1,10.41,1,9,2,1,1,1,56.24,1979-07-24,1,4,8350000,7,0,0.0,0,0,1,1
12,5,2015-10-05,含增建或未登記建物。,0,274455.0,1,5.78,1,5,1,0,1,1,42.63,2005-08-03,1,12,11700000,12,0,0.0,0,0,3,1
12,5,2015-10-22,,0,406291.0,1,6.28,1,3,0,0,0,0,22.89,1977-03-01,0,1,9300000,5,0,0.0,0,0,1,1
12,2,2015-09-19,,0,198732.0,2,5.48,1,5,1,1,1,1,53.64,2008-03-12,1,3,10660000,14,0,0.0,0,0,3,1
12,5,2015-09-27,,0,113708.0,1,12.85,1,1,2,4,2,1,149.33,1985-05-20,1,4,16980000,12,0,0.0,0,0,3,1
12,2,2015-10-05,,0,163239.0,1,42.7,1,3,2,3,2,1,122.52,1986-10-23,0,3,20000000,5,0,0.0,0,0,1,4
12,2,2015-10-12,,0,204290.0,1,17.79,1,1,2,3,2,1,168.96,2015-05-22,1,5,35000000,13,1,2.53,1000000,5,3,8
12,2,2015-09-26,,0,147809.0,1,10.02,1,1,2,2,1,1,152.89,2015-02-10,1,12,22600000,18,1,0.0,0,1,3,12
12,5,2015-10-16,,0,136311.0,1,17.91,1,3,1,4,1,1,60.89,1985-11-20,0,1,8300000,4,0,0.0,0,0,3,12
12,2,2012-11-04,,0,190382.0,1,8.28,1,1,1,2,1,1,93.52,2015-05-06,1,7,16210000,13,1,17.83,1800000,5,3,8
12,2,2015-10-05,含增建或未登記建物。,0,214436.0,1,32.67,1,9,2,4,2,1,233.17,1976-11-15,1,8,50000000,10,0,0.0,0,0,1,2
12,2,2015-10-19,,0,99602.0,3,20.78,1,3,2,3,1,1,80.32,1985-02-05,0,2,8000000,5,0,0.0,0,0,1,8
14,2,2013-05-23,新成屋尚未成立管委會，後達一定交屋戶數後成立管委會。,0,178355.0,1,19.16,1,1,2,3,2,1,272.48,2015-04-27,0,13,48600000,33,2,66.04,0,1,3,10
14,2,2015-09-21,不動產之共有人數為２人；新成屋尚未成立管委會，後達一定交屋戶數後成立管委會。,0,192758.0,1,14.8,1,1,2,3,2,1,203.72,2015-04-27,0,9,35500000,33,1,33.04,2600000,1,3,10
1,2,2015-09-07,,1,235562.0,1,1.72,1,12,0,0,1,0,1.93,1951-01-09,0,,454635,1,0,0.0,0,0,1,2
12,2,2015-10-13,私契於民國104年07月12日雙方自行訂定。,0,174271.0,1,28.03,1,1,2,3,2,1,172.42000000000004,2012-08-27,1,8,24380000,14,1,41.36,1540000,1,1,10
12,9,2015-09-08,為取得共有車位之產權移轉,0,73710.0,0,0.0,1,1,0,0,0,0,16.28,2014-10-29,1,1,1200000,14,0,0.0,0,0,0,10
12,2,2015-09-08,,0,217397.0,1,47.55,1,1,2,3,2,1,334.04,2014-10-29,1,12,66880000,14,1,36.06,2100000,1,1,10
12,2,2015-09-12,含增建或未登記建物。,0,167937.0,1,18.56,1,9,2,2,1,1,69.55,1992-08-14,0,5,11680000,6,0,0.0,0,0,1,10
12,2,2015-09-25,本案屬一親等間母女買賣案件  交易資訊為土地公告現值  房屋評定現值  承買人2人,0,66831.0,2,36.17,1,3,2,3,1,1,97.18,,0,4,6494600,4,0,0.0,0,0,1,10
12,2,2015-10-01,車位面積無法概算。,0,156758.0,1,35.19,1,1,2,3,2,1,169.05,2010-11-04,1,12,26500000,13,1,0.0,0,1,1,10
1,2,2015-09-03,,1,0.0,1,0.04,1,12,0,0,1,0,0.04,1951-01-09,0,,9662,1,0,0.0,0,0,1,2
1,2,2015-09-13,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-13,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
